Time (s),Frequency (Hz)
1.966016874,301.8867925
1.978611614,301.8867925
1.989847968,303.7974684
2.003655832,300
2.01767177,300
2.029085364,300
2.041849999,309.6774194
2.054326249,309.6774194
2.067200468,311.6883117
2.080907239,307.6923077
2.094041822,307.6923077
2.106515155,303.7974684
2.120547707,301.8867925
2.133781145,301.8867925
2.145981874,311.6883117
2.159845468,307.6923077
2.174097603,307.6923077
2.187341093,305.7324841
2.203218384,301.8867925
2.221962239,301.8867925
2.236234739,301.8867925
2.25083927,301.8867925
2.268046822,303.7974684
2.28472552,303.7974684
2.299950207,303.7974684
2.313792291,303.7974684
2.328854062,301.8867925
2.343930937,303.7974684
2.360365364,303.7974684
2.37578052,303.7974684
2.388019009,307.6923077
2.405605728,305.7324841
2.422723436,296.2962963
2.439384009,296.2962963
2.452539895,298.136646
2.472686874,311.6883117
2.486601718,298.136646
2.501824166,300
2.519126457,300
2.532833176,301.8867925
2.553986353,300
2.569073853,301.8867925
2.584566457,309.6774194
2.603939686,313.7254902
2.623876822,303.7974684
2.643675259,303.7974684
2.656956926,303.7974684
2.66992328,307.6923077
2.688496613,309.6774194
2.702499791,311.6883117
2.718556561,311.6883117
2.732776145,296.2962963
2.752845728,305.7324841
2.770286249,303.7974684
2.784005207,303.7974684
2.796569843,303.7974684
2.807935363,303.7974684
2.820720468,307.6923077
2.834082915,307.6923077
2.845560728,305.7324841
2.859384009,301.8867925
2.873231874,301.8867925
2.885976145,309.6774194
2.899483436,300
2.912045884,300
2.923427863,309.6774194
2.935960103,309.6774194
2.947397238,307.6923077
2.960212603,309.6774194
2.972877395,309.6774194
2.984282915,307.6923077
2.997650311,307.6923077
3.009589738,303.7974684
3.024419218,301.8867925
3.038856978,301.8867925
3.05027328,305.7324841
3.06393328,311.6883117
3.07680453,311.6883117
3.088819686,305.7324841
3.103112603,301.8867925
3.116546665,301.8867925
3.128108436,296.2962963
3.141275415,309.6774194
3.155569165,309.6774194
3.167240103,301.8867925
3.180290311,309.6774194
3.193381561,309.6774194
3.205935728,303.7974684
3.220287499,303.7974684
3.242261561,301.8867925
3.253415519,301.8867925
3.264010832,301.8867925
3.27500354,301.8867925
3.285603332,305.7324841
3.296565415,305.7324841
3.307890832,303.7974684
3.321031301,305.7324841
3.332949426,305.7324841
3.344306978,301.8867925
3.355839947,301.8867925
3.366420728,303.7974684
3.377530155,303.7974684
3.388212238,301.8867925
3.400692863,307.6923077
3.413210311,307.6923077
3.424449217,303.7974684
3.438138384,303.7974684
3.449570311,303.7974684
3.462148697,301.8867925
3.474578801,301.8867925
3.488293071,307.6923077
3.501903644,307.6923077
3.514414009,307.6923077
3.525688124,305.7324841
3.539613801,303.7974684
3.551981561,303.7974684
3.563145259,307.6923077
3.575538071,307.6923077
3.587403436,303.7974684
3.599926144,307.6923077
3.612307603,307.6923077
3.624592082,303.7974684
3.637480832,303.7974684
3.648701874,305.7324841
3.661293853,307.6923077
3.674525363,307.6923077
3.687355051,311.6883117
3.699883644,305.7324841
3.712209478,305.7324841
3.724857186,301.8867925
3.740910988,309.6774194
3.75351453,309.6774194
3.764704426,301.8867925
3.777148592,301.8867925
3.78955854,307.6923077
3.803678332,309.6774194
3.816993071,309.6774194
3.828981613,307.6923077
3.843009582,292.6829268
3.855442603,292.6829268
3.866606613,274.2857143
3.880990623,307.6923077
3.897739998,307.6923077
3.910825259,157.3770492
3.92787453,275.862069
3.946033332,941.1764706
3.96253005,292.6829268
3.977770832,292.6829268
3.99147255,363.6363636
4.011282655,152.3809524
4.031894998,265.1933702
4.046211561,320
