Time (s),Period (s),Frequency (Hz)
0,#NUM!,#NUM!
0.025378958,#NUM!,#NUM!
0.036431927,#NUM!,#NUM!
0.046820052,#NUM!,#NUM!
0.05758,#NUM!,#NUM!
0.06860401,#NUM!,#NUM!
0.081180781,#NUM!,#NUM!
0.092388073,#NUM!,#NUM!
0.106049167,#NUM!,#NUM!
0.122958906,#NUM!,#NUM!
0.134155833,#NUM!,#NUM!
0.146562552,#NUM!,#NUM!
0.157748385,#NUM!,#NUM!
0.168933542,0.0025,400
0.181387864,0.0025,400
0.192727292,0.0025,400
0.205357292,0.002479167,403.3613445
0.217899427,0.002479167,403.3613445
0.229067083,0.002479167,403.3613445
0.240592552,0.002479167,403.3613445
0.251660729,0.0025,400
0.264281875,0.002479167,403.3613445
0.276875885,0.002479167,403.3613445
0.288071927,0.002479167,403.3613445
0.300595677,0.002479167,403.3613445
0.311728958,0.002458333,406.779661
0.324788229,0.002479167,403.3613445
0.337492187,0.002479167,403.3613445
0.348651354,0.0025,400
0.361172969,0.0025,400
0.372358489,0.002458333,406.779661
0.387646614,0.002520833,396.6942149
0.400269896,0.002520833,396.6942149
0.411515,0.002458333,406.779661
0.424340833,0.002479167,403.3613445
0.439902031,0.002479167,403.3613445
0.451937812,0.002458333,406.779661
0.464612396,0.002479167,403.3613445
0.477039062,0.002479167,403.3613445
0.48843401,0.002479167,403.3613445
0.500833177,0.002479167,403.3613445
0.512143802,0.002479167,403.3613445
0.524665781,0.002458333,406.779661
0.537250104,0.002458333,406.779661
0.548422396,0.002479167,403.3613445
0.560959375,0.002479167,403.3613445
0.572325885,0.002479167,403.3613445
0.584900521,0.002479167,403.3613445
0.597260312,0.002479167,403.3613445
0.609216146,0.002479167,403.3613445
0.62181125,0.002479167,403.3613445
0.632879635,0.002479167,403.3613445
0.645237187,0.0025,400
0.657887083,0.0025,400
0.670575,0.002479167,403.3613445
0.683420468,0.002458333,406.779661
0.694614896,0.002458333,406.779661
0.705810937,0.002479167,403.3613445
0.718306718,0.002479167,403.3613445
0.729571614,0.002458333,406.779661
0.741886979,0.002458333,406.779661
0.753168541,0.002479167,403.3613445
0.765846771,0.002479167,403.3613445
0.779211614,0.002479167,403.3613445
0.791269166,0.0025,400
0.804801979,0.002479167,403.3613445
0.817241041,0.002479167,403.3613445
0.829904166,0.0025,400
0.842653073,0.0025,400
0.853823906,0.0025,400
0.865020208,0.0025,400
0.876278437,0.0025,400
0.887370625,0.002479167,403.3613445
0.89853302,0.002479167,403.3613445
0.910740885,0.002479167,403.3613445
0.922226093,0.002479167,403.3613445
0.933104583,0.0025,400
0.944798854,0.0025,400
0.956135885,0.0025,400
0.966702135,0.002479167,403.3613445
0.977945208,0.002479167,403.3613445
0.992614218,0.002458333,406.779661
1.005761875,0.002479167,403.3613445
1.018125677,0.002479167,403.3613445
1.03039776,0.002479167,403.3613445
1.043328697,0.002479167,403.3613445
1.05614026,0.002479167,403.3613445
1.067201302,0.002479167,403.3613445
1.079651718,0.002479167,403.3613445
1.094297968,0.002479167,403.3613445
1.106857239,0.002479167,403.3613445
1.119210468,0.002479167,403.3613445
1.130361822,0.002479167,403.3613445
1.14352,0.002479167,403.3613445
1.155063593,0.0025,400
1.167530468,0.002479167,403.3613445
1.180015208,0.002479167,403.3613445
1.191283385,0.0025,400
1.204101562,0.002479167,403.3613445
1.216576302,0.002479167,403.3613445
1.227831875,0.002458333,406.779661
1.243007187,0.002458333,406.779661
1.254289583,0.002479167,403.3613445
1.266811458,0.002458333,406.779661
1.279177447,0.002458333,406.779661
1.291894166,0.002479167,403.3613445
1.30488302,0.002479167,403.3613445
1.317359583,0.002479167,403.3613445
1.328985104,0.002479167,403.3613445
1.344967343,0.002479167,403.3613445
1.357331302,0.002479167,403.3613445
1.368553177,0.002479167,403.3613445
1.380746354,0.002479167,403.3613445
1.392019062,0.002520833,396.6942149
1.404768281,0.0025,400
1.417320937,0.0025,400
1.428525312,0.0025,400
1.441259791,0.0025,400
1.452468124,0.002479167,403.3613445
1.465101041,0.002479167,403.3613445
1.477684374,0.002479167,403.3613445
1.488984583,0.002479167,403.3613445
1.501333229,0.002479167,403.3613445
1.512528801,0.0025,400
1.525994062,0.0025,400
1.538913072,0.0025,400
1.550109739,0.002479167,403.3613445
1.562660676,0.002479167,403.3613445
1.573999947,0.002479167,403.3613445
1.58655427,0.0025,400
1.599686822,0.0025,400
1.612318176,0.002479167,403.3613445
1.625539999,0.0025,400
1.637891926,0.0025,400
1.649639947,0.002479167,403.3613445
1.664499218,0.0025,400
1.677060676,0.0025,400
1.68830526,0.002479167,403.3613445
1.700749114,0.002479167,403.3613445
1.711962239,0.0025,400
1.724572395,0.0025,400
1.736967812,0.0025,400
1.748286197,0.0025,400
1.760975989,0.0025,400
1.772090781,0.0025,400
1.784803593,0.0025,400
1.798191614,0.0025,400
1.809513749,0.002479167,403.3613445
1.821840312,0.002479167,403.3613445
1.833909791,0.002479167,403.3613445
1.846861874,0.002479167,403.3613445
1.859930416,0.002479167,403.3613445
1.871100833,0.002479167,403.3613445
1.884071978,0.002479167,403.3613445
1.897821874,0.002479167,403.3613445
1.909333437,0.002458333,406.779661
1.921829999,0.002458333,406.779661
1.934237968,0.002458333,406.779661
1.947700468,0.002458333,406.779661
1.960483593,0.002458333,406.779661
1.971574374,0.002479167,403.3613445
1.984236249,0.0025,400
1.998201926,0.0025,400
2.00961828,0.0025,400
2.021894166,0.0025,400
2.033128333,0.0025,400
2.045776978,0.002479167,403.3613445
2.058270937,0.002479167,403.3613445
