"Time (s)","Frequency (Hz)","Speed (m/s)"
5.459167180E-1,NaN,NaN
5.559169263E-1,NaN,NaN
5.659171347E-1,NaN,NaN
5.759173430E-1,NaN,NaN
5.859175514E-1,NaN,NaN
5.959177597E-1,NaN,NaN
6.059179680E-1,NaN,NaN
6.159181764E-1,NaN,NaN
6.259183847E-1,NaN,NaN
6.359185930E-1,NaN,NaN
6.459188014E-1,NaN,NaN
6.559190097E-1,2.002178526E3,3.699464375E-1
6.659192181E-1,2.002115702E3,3.592893178E-1
6.759194264E-1,2.001879384E3,3.191953042E-1
6.859196347E-1,2.001904808E3,3.235092255E-1
6.959198431E-1,2.002665085E3,4.524614750E-1
7.059200514E-1,2.001906018E3,3.237146338E-1
7.159202597E-1,2.003231960E3,5.485466934E-1
7.259204681E-1,2.002595189E3,4.406103477E-1
7.359206764E-1,2.001997917E3,3.393069994E-1
7.459208848E-1,2.001789442E3,3.039332602E-1
7.559210931E-1,2.001812497E3,3.078455224E-1
7.659213014E-1,2.002352317E3,3.994240888E-1
7.759215098E-1,2.003007854E3,5.105673257E-1
7.859217181E-1,2.002960590E3,5.025563866E-1
7.959219264E-1,2.002108372E3,3.580457118E-1
8.059221348E-1,2.001608489E3,2.732234015E-1
8.159223431E-1,2.002023404E3,3.436309738E-1
8.259225515E-1,2.002599710E3,4.413769604E-1
8.359227598E-1,2.003233752E3,5.488504209E-1
8.459229681E-1,2.003031390E3,5.145563192E-1
8.559231765E-1,1.998302943E3,-2.887447284E-1
8.659233848E-1,1.997724009E3,-3.873592515E-1
8.759235931E-1,1.999596938E3,-6.853428044E-2
8.859238015E-1,2.000494757E3,8.408782001E-2
8.959240098E-1,1.999434893E3,-9.609526267E-2
9.059242182E-1,2.000611185E3,1.038697647E-1
9.159244265E-1,2.000402133E3,6.834894077E-2
9.259246348E-1,1.999138978E3,-1.464367258E-1
9.359248432E-1,1.999730375E3,-4.584237684E-2
9.459250515E-1,2.000057566E3,9.786009925E-3
9.559252598E-1,2.000625100E3,1.062337681E-1
9.659254682E-1,2.000570736E3,9.699741778E-2
9.759256765E-1,2.000889503E3,1.511482665E-1
9.859258849E-1,2.000754633E3,1.282392563E-1
9.959260932E-1,2.000533680E3,9.070134561E-2
1.005926302E0,2.000932219E3,1.584033363E-1
1.015926510E0,2.000771011E3,1.310213234E-1
1.096901145E0,1.999936963E3,-1.071665872E-2
1.106901353E0,2.001160915E3,1.972410417E-1
1.116901562E0,2.001207216E3,2.051029290E-1
1.126901770E0,1.999819774E3,-3.064121948E-2
1.136901978E0,1.999407685E3,-1.007233453E-1
1.146902187E0,2.000729838E3,1.240271308E-1
1.156902395E0,2.001009508E3,1.715298487E-1
1.166902603E0,2.000067179E3,1.142007714E-2
1.176902812E0,1.999934127E3,-1.119875024E-2
1.186903020E0,2.000431122E3,7.327489848E-2
1.196903228E0,2.000249693E3,4.244253339E-2
1.206903437E0,1.999046077E3,-1.622442994E-1
1.216903645E0,1.999827501E3,-2.932732635E-2
1.226903853E0,1.999556454E3,-7.541959154E-2
1.236904062E0,1.998892228E3,-1.884255505E-1
1.246904270E0,1.999336126E3,-1.128960121E-1
1.256904478E0,1.999583184E3,-7.087347307E-2
1.266904687E0,1.999688761E3,-5.291887207E-2
1.276904895E0,1.998486051E3,-2.575662940E-1
1.286905103E0,1.998886743E3,-1.893590416E-1
1.296905312E0,1.998790187E3,-2.057927563E-1
1.306905520E0,1.997546620E3,-4.175869216E-1
1.316905728E0,1.998832678E3,-1.985607055E-1
1.326905937E0,1.998855250E3,-1.947188743E-1
1.336906145E0,1.998358074E3,-2.793567239E-1
1.346906353E0,1.998649966E3,-2.296608638E-1
