"Time (s)","Frequency (Hz)","Speed (m/s)"
5.449656770E-1,NaN,NaN
5.549658853E-1,NaN,NaN
5.649660937E-1,NaN,NaN
5.749663020E-1,NaN,NaN
5.849665104E-1,NaN,NaN
5.949667187E-1,NaN,NaN
6.049669270E-1,NaN,NaN
6.149671354E-1,NaN,NaN
6.249673437E-1,NaN,NaN
6.349675520E-1,NaN,NaN
6.449677604E-1,NaN,NaN
6.549679687E-1,1.996811113E3,-5.429765035E-1
6.649681771E-1,1.996971175E3,-5.156811548E-1
6.749683854E-1,1.996844677E3,-5.372525444E-1
6.849685937E-1,1.999127944E3,-1.483141295E-1
6.949688021E-1,1.997768902E3,-3.797103197E-1
7.049690104E-1,1.997350832E3,-4.509559453E-1
7.149692187E-1,1.999785906E3,-3.639983886E-2
7.249694271E-1,1.998099896E3,-3.233247900E-1
7.349696354E-1,1.996191787E3,-6.486313102E-1
7.449698438E-1,1.998651496E3,-2.294003964E-1
7.549700521E-1,1.999360741E3,-1.087087933E-1
7.649702604E-1,1.998453745E3,-2.630667477E-1
7.749704688E-1,1.998823581E3,-2.001089601E-1
7.849706771E-1,1.998116317E3,-3.205279895E-1
7.949708854E-1,1.998278227E3,-2.929535377E-1
8.049710938E-1,1.997246500E3,-4.687403941E-1
8.149713021E-1,1.999333857E3,-1.132821225E-1
8.249715105E-1,1.996019493E3,-6.780356015E-1
8.349717188E-1,NaN,NaN
8.449719271E-1,1.996552217E3,-5.871352071E-1
8.549721355E-1,1.999930380E3,-1.183579082E-2
8.649723438E-1,1.999127506E3,-1.483886605E-1
8.749725521E-1,1.995869540E3,-7.036314127E-1
8.849727605E-1,2.000999570E3,1.698419592E-1
8.949729688E-1,1.998188127E3,-3.082977593E-1
9.049731772E-1,1.997844664E3,-3.668023453E-1
9.149733855E-1,1.998094811E3,-3.241909710E-1
9.249735938E-1,1.997352147E3,-4.507316940E-1
9.349738022E-1,1.997250327E3,-4.680879804E-1
9.449740105E-1,2.002909387E3,4.938773264E-1
9.549742188E-1,NaN,NaN
9.649744272E-1,NaN,NaN
9.749746355E-1,1.996437638E3,-6.066821519E-1
9.849748439E-1,1.998726815E3,-2.165793430E-1
9.949750522E-1,1.998561723E3,-2.446829713E-1
1.004975261E0,1.995669956E3,-7.377046158E-1
1.014975469E0,2.000100711E3,1.712000088E-2
1.024975677E0,1.998387276E3,-2.743843857E-1
1.034975886E0,NaN,NaN
1.093909271E0,NaN,NaN
1.103909479E0,1.996784178E3,-5.475701379E-1
1.113909688E0,2.001191179E3,2.023798873E-1
1.123909896E0,2.001529000E3,2.597313672E-1
1.133910104E0,1.998636274E3,-2.319916205E-1
1.143910313E0,1.996024267E3,-6.772208786E-1
1.153910521E0,1.993535639E3,-1.102504834E0
1.163910729E0,2.002397529E3,4.070919199E-1
1.173910938E0,2.001949081E3,3.310212104E-1
1.183911146E0,1.999342941E3,-1.117367809E-1
1.193911354E0,NaN,NaN
1.203911563E0,1.999769592E3,-3.917393289E-2
1.213911771E0,1.999311724E3,-1.170472217E-1
1.223911979E0,1.995854219E3,-7.062466579E-1
1.233912188E0,1.999286439E3,-1.213487180E-1
1.243912396E0,1.998238549E3,-2.997106414E-1
1.253912604E0,1.999449348E3,-9.363656860E-2
1.263912813E0,2.002122454E3,3.604347431E-1
1.273913021E0,2.000721029E3,1.225308021E-1
1.283913229E0,1.996753680E3,-5.527716071E-1
1.293913438E0,2.001306473E3,2.219553598E-1
1.303913646E0,2.001441704E3,2.449131723E-1
1.313913854E0,1.996280483E3,-6.334960349E-1
1.323914063E0,1.999253271E3,-1.269912776E-1
1.333914271E0,2.001737400E3,2.951017074E-1
1.343914479E0,2.006317444E3,1.070583737E0
1.353914688E0,2.004412589E3,7.484887023E-1
1.363914896E0,2.003513430E3,5.962357562E-1
1.373915104E0,2.004286478E3,7.271427698E-1
1.383915313E0,2.003265311E3,5.541980854E-1
1.393915521E0,2.001958703E3,3.326537552E-1
1.403915729E0,2.005187352E3,8.795685898E-1
1.413915938E0,2.007653397E3,1.296117607E0
1.423916146E0,2.003272685E3,5.554475166E-1
1.433916354E0,2.001489120E3,2.529620352E-1
1.443916563E0,2.002560022E3,4.346474420E-1
1.453916771E0,2.002316855E3,3.934096564E-1
1.463916979E0,2.002557255E3,4.341781977E-1
1.473917188E0,2.004045440E3,6.863365217E-1
1.483917396E0,2.004932243E3,8.364186511E-1
1.493917605E0,2.000368106E3,6.256656887E-2
1.503917813E0,1.997386141E3,-4.449374493E-1
1.513918021E0,2.002316247E3,3.933065186E-1
1.523918230E0,2.000638422E3,1.084971721E-1
1.533918438E0,2.001595507E3,2.710199516E-1
1.543918646E0,2.002364685E3,4.015216309E-1
1.553918855E0,2.002664480E3,4.523589581E-1
1.563919063E0,2.001996205E3,3.390165525E-1
1.573919271E0,2.002728664E3,4.632409419E-1
1.583919480E0,2.003118256E3,5.292783365E-1
