"Time (s)","Frequency (Hz)","Speed (m/s)"
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,非數值,非數值
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,非數值,非數值
0.000000000E0,非數值,非數值
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,非數值,非數值
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,非數值,非數值
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,非數值,非數值
7.162851250E-1,9.993966137E2,-2.052751914E-1
7.262853333E-1,9.955389296E2,-1.523560655E0
7.362855416E-1,9.987104681E2,-4.390069556E-1
7.462857500E-1,9.989873527E2,-3.446490979E-1
7.562859583E-1,9.970417797E2,-1.008779103E0
7.662861667E-1,9.982808822E2,-5.855065923E-1
7.762863750E-1,9.987200298E2,-4.357476180E-1
7.862865833E-1,1.001623105E3,5.509613281E-1
7.962867917E-1,1.000982826E3,3.338326234E-1
8.062870000E-1,1.000570875E3,1.939867608E-1
8.162872084E-1,9.966468041E2,-1.143922406E0
8.262874167E-1,非數值,非數值
8.362876250E-1,1.006978965E3,2.356402813E0
8.462878334E-1,1.003799884E3,1.287069897E0
8.562880417E-1,1.000468472E3,1.592059577E-1
8.662882500E-1,1.005834229E3,1.972132125E0
8.762884584E-1,1.009456064E3,3.184944818E0
8.862886667E-1,非數值,非數值
8.962888751E-1,非數值,非數值
9.062890834E-1,非數值,非數值
9.162892917E-1,9.998731848E2,-4.312262538E-2
9.262895001E-1,9.943106627E2,-1.945442972E0
9.362897084E-1,1.000746483E3,2.536149656E-1
9.462899167E-1,9.980730196E2,-6.564382743E-1
9.562901251E-1,1.000905689E3,3.076554916E-1
9.662903334E-1,9.983321795E2,-5.680062918E-1
9.762905418E-1,9.971705364E2,-9.647473466E-1
9.862907501E-1,1.003604646E3,1.221177720E0
9.962909584E-1,1.004720196E3,1.597326781E0
1.006291167E0,1.003918602E3,1.327124292E0
1.016291375E0,1.000215902E3,7.339072716E-2
1.026291583E0,1.003979674E3,1.347725568E0
1.036291792E0,1.004621022E3,1.563920668E0
1.046292000E0,1.005051634E3,1.708922675E0
1.056292208E0,1.006553597E3,2.213715349E0
1.066292417E0,1.003557389E3,1.205224889E0
1.076292625E0,1.003168860E3,1.074009087E0
1.086292833E0,1.003409836E3,1.155404585E0
1.096293042E0,1.004049613E3,1.371314990E0
1.106293250E0,1.003779996E3,1.280358940E0
1.116293458E0,1.003706370E3,1.255512341E0
1.126293667E0,1.002484319E3,8.425752367E-1
1.136293875E0,1.000970665E3,3.297059730E-1
1.146294083E0,1.003578525E3,1.212360097E0
1.156294292E0,1.005228630E3,1.768487423E0
1.166294500E0,1.003054704E3,1.035436277E0
1.176294709E0,1.001455046E3,4.939967347E-1
1.186294917E0,1.002496123E3,8.465685665E-1
1.196295125E0,1.003695229E3,1.251752240E0
1.206295334E0,1.002114999E3,7.175820046E-1
1.232944083E0,1.003746744E3,1.269137956E0
1.242944292E0,1.001435755E3,4.874568843E-1
1.252944500E0,1.000569186E3,1.934133121E-1
1.262944708E0,1.001640332E3,5.567995242E-1
1.272944917E0,1.004490935E3,1.520091424E0
1.282945125E0,1.002525296E3,8.564380010E-1
1.292945333E0,9.991999075E2,-2.722492639E-1
1.302945542E0,9.996445802E2,-1.208856913E-1
1.312945750E0,1.004872077E3,1.648474775E0
1.322945958E0,1.004768878E3,1.613722904E0
1.332946167E0,1.003733054E3,1.264517925E0
1.342946375E0,1.001229129E3,4.173907373E-1
1.352946583E0,9.982836440E2,-5.845643534E-1
1.362946792E0,1.002327966E3,7.896702522E-1
1.372947000E0,1.004422019E3,1.496867244E0
1.382947208E0,1.002584317E3,8.764027799E-1
1.392947417E0,1.002908850E3,9.861403421E-1
1.402947625E0,1.001012393E3,3.438654281E-1
1.412947833E0,1.003546416E3,1.201520476E0
1.422948042E0,1.003051830E3,1.034465335E0
1.432948250E0,1.002695687E3,9.140694599E-1
1.442948458E0,1.000794897E3,2.700502266E-1
1.452948667E0,1.000968808E3,3.290758324E-1
1.462948875E0,9.993689245E2,-2.147011536E-1
1.472949083E0,1.003362374E3,1.139376200E0
1.482949292E0,1.003227349E3,1.093768776E0
1.492949500E0,9.995572481E2,-1.506023097E-1
1.502949708E0,9.981322421E2,-6.362260025E-1
1.512949917E0,1.000194184E3,6.600978843E-2
1.522950125E0,1.004027064E3,1.363710120E0
1.532950333E0,1.003099736E3,1.050653391E0
1.542950542E0,9.999290160E2,-2.413625775E-2
1.552950750E0,1.001177611E3,3.999167513E-1
1.562950958E0,1.001983989E3,6.732205352E-1
1.572951167E0,1.004055884E3,1.373430231E0
1.582951375E0,1.000761150E3,2.585942734E-1
1.592951583E0,1.001843596E3,6.256693021E-1
1.602951792E0,9.977518458E2,-7.660947414E-1
1.612952000E0,1.000422142E3,1.434675701E-1
1.622952208E0,1.004653828E3,1.574972025E0
1.632952417E0,1.001748763E3,5.935414827E-1
1.642952625E0,9.951618025E2,-1.652984603E0
1.652952833E0,9.993021675E2,-2.374287239E-1
1.662953042E0,1.000752556E3,2.556766118E-1
1.672953250E0,1.003196024E3,1.083186322E0
1.682953459E0,1.001775333E3,6.025434007E-1
1.692953667E0,1.000908978E3,3.087719729E-1
1.702953875E0,1.000858170E3,2.915277496E-1
1.712954084E0,1.001531696E3,5.199801226E-1
1.722954292E0,1.001220187E3,4.143581134E-1
1.749590583E0,非數值,非數值
1.759590792E0,9.986715035E2,-4.522896690E-1
1.769591000E0,9.969481677E2,-1.040799334E0
1.779591208E0,9.981347832E2,-6.353587798E-1
1.789591417E0,9.983018212E2,-5.783629661E-1
1.799591625E0,9.982123918E2,-6.088752321E-1
1.809591833E0,9.963559718E2,-1.243500956E0
1.819592042E0,9.959297335E2,-1.389546439E0
1.829592250E0,9.967107216E2,-1.122045372E0
1.839592458E0,9.957572028E2,-1.448697573E0
1.849592667E0,9.960373213E2,-1.352670944E0
1.859592875E0,9.988260862E2,-3.995997930E-1
1.869593083E0,9.968411298E2,-1.077419291E0
1.879593292E0,9.975562207E2,-8.329204259E-1
1.889593500E0,9.960049097E2,-1.363779135E0
1.899593708E0,9.967725854E2,-1.100873955E0
1.909593917E0,9.972209389E2,-9.475139636E-1
1.919594125E0,9.973953909E2,-8.878796776E-1
1.929594333E0,9.962100410E2,-1.293488314E0
1.939594542E0,9.966190229E2,-1.153431941E0
1.949594750E0,9.969649796E2,-1.035048312E0
1.959594958E0,9.959231840E2,-1.391791533E0
1.969595167E0,9.970170443E2,-1.017239319E0
1.979595375E0,9.988533112E2,-3.903217595E-1
1.989595583E0,9.975514768E2,-8.345412754E-1
1.999595792E0,1.003894995E3,1.319160063E0
2.009596000E0,1.003051735E3,1.034432958E0
2.019596208E0,1.002446084E3,8.296390383E-1
2.029596417E0,1.001162753E3,3.948767768E-1
2.039596625E0,1.002390381E3,8.107915296E-1
2.049596833E0,1.002687826E3,9.114111356E-1
2.059597042E0,1.004322107E3,1.463192269E0
2.069597250E0,1.002660760E3,9.022575828E-1
2.079597458E0,9.988345472E2,-3.967163151E-1
2.089597667E0,1.002007935E3,6.813296668E-1
2.099597875E0,非數值,非數值
2.109598083E0,非數值,非數值
2.119598292E0,1.006335399E3,2.140474859E0
2.129598500E0,1.007492626E3,2.528547485E0
2.139598708E0,非數值,非數值
2.149598917E0,非數值,非數值
2.159599125E0,非數值,非數值
2.169599334E0,1.000747198E3,2.538578002E-1
2.179599542E0,9.947739739E2,-1.786183506E0
2.189599750E0,9.961310668E2,-1.320546406E0
2.199599959E0,9.949555118E2,-1.723821788E0
2.209600167E0,9.977032697E2,-7.826859293E-1
2.219600375E0,9.987856843E2,-4.133693035E-1
2.229600584E0,9.978246660E2,-7.412259820E-1
2.239600792E0,非數值,非數值
2.266242333E0,9.971100151E2,-9.854427963E-1
2.276242542E0,9.985835002E2,-4.822930862E-1
2.286242750E0,9.996647767E2,-1.140141453E-1
2.296242958E0,9.942758804E2,-1.957405081E0
2.306243167E0,9.972010246E2,-9.543227509E-1
2.316243375E0,非數值,非數值
2.326243583E0,9.965900011E2,-1.163366717E0
2.336243792E0,9.976231127E2,-8.100671108E-1
2.346244000E0,9.966028247E2,-1.158976858E0
2.356244208E0,9.971099404E2,-9.854683367E-1
2.366244417E0,9.957727454E2,-1.443368052E0
2.376244625E0,9.973297515E2,-9.103152527E-1
2.386244833E0,9.967689704E2,-1.102111028E0
2.396245042E0,9.983280701E2,-5.694081602E-1
2.406245250E0,9.977281971E2,-7.741717551E-1
2.416245458E0,非數值,非數值
2.426245667E0,9.955440850E2,-1.521792062E0
2.436245875E0,9.963939852E2,-1.230482166E0
2.446246083E0,9.975339768E2,-8.405206470E-1
2.456246292E0,非數值,非數值
2.466246500E0,9.960590000E2,-1.345241585E0
2.476246708E0,9.974155158E2,-8.810015591E-1
2.486246917E0,1.001335708E3,4.535350179E-1
2.496247125E0,1.000252647E3,8.587843957E-2
2.506247333E0,1.001518390E3,5.154699226E-1
2.516247542E0,1.000229336E3,7.795646283E-2
2.526247750E0,非數值,非數值
2.536247958E0,1.008564039E3,2.887048595E0
2.546248167E0,非數值,非數值
2.556248375E0,非數值,非數值
2.566248583E0,1.000657400E3,2.233692765E-1
2.576248792E0,非數值,非數值
2.586249000E0,1.009124329E3,3.074221690E0
2.596249208E0,9.987060977E2,-4.404967257E-1
2.606249417E0,1.003244116E3,1.099432771E0
2.616249625E0,9.944109299E2,-1.910964346E0
2.626249833E0,9.997259212E2,-9.321234474E-2
2.636250042E0,1.001152266E3,3.913194259E-1
2.646250250E0,9.992118637E2,-2.681777083E-1
2.656250458E0,9.990543682E2,-3.218191287E-1
