"Time (s)","Frequency (Hz)","Speed (m/s)"
7.312760833E-1,1.005429132E3,1.835937230E0
7.412762917E-1,1.003288293E3,1.114355266E0
7.512765000E-1,1.003974903E3,1.346116308E0
7.612767083E-1,1.004455615E3,1.508189071E0
7.712769167E-1,1.005304883E3,1.794142483E0
7.812771250E-1,1.005932584E3,2.005182775E0
7.912773334E-1,1.006850364E3,2.313277098E0
8.012775417E-1,1.005807512E3,1.963152988E0
8.112777500E-1,1.003414915E3,1.157119656E0
8.212779584E-1,1.001978695E3,6.714277341E-1
8.312781667E-1,1.001266875E3,4.301924645E-1
8.412783750E-1,1.000870666E3,2.957688013E-1
8.512785834E-1,1.000832163E3,2.827001052E-1
8.612787917E-1,1.000439758E3,1.494520269E-1
8.712790001E-1,1.001417801E3,4.813698714E-1
8.812792084E-1,1.002716193E3,9.210038489E-1
8.912794167E-1,1.003186917E3,1.080109582E0
9.012796251E-1,1.003220391E3,1.091418251E0
9.112798334E-1,1.003034943E3,1.028758320E0
9.212800417E-1,1.003156543E3,1.069847432E0
9.312802501E-1,1.001280544E3,4.348282242E-1
9.412804584E-1,1.000167456E3,5.692543017E-2
9.512806668E-1,1.000022822E3,7.759451809E-3
9.612808751E-1,1.000077572E3,2.637231630E-2
9.712810834E-1,9.987773297E2,-4.162167882E-1
9.812812918E-1,9.975524984E2,-8.341922246E-1
9.912815001E-1,9.959387635E2,-1.386451130E0
1.001281708E0,9.953216347E2,-1.598120779E0
1.011281917E0,9.952601191E2,-1.619234491E0
1.021282125E0,9.946495697E2,-1.828931882E0
1.031282333E0,9.944830094E2,-1.886182849E0
1.041282542E0,9.946931298E2,-1.813962333E0
1.051282750E0,9.950108030E2,-1.704832718E0
1.061282958E0,9.958210193E2,-1.426816083E0
1.071283167E0,9.967961385E2,-1.092814146E0
1.081283375E0,9.984284457E2,-5.351694947E-1
1.091283583E0,9.998889836E2,-3.774975153E-2
1.101283792E0,1.000282637E3,9.606927309E-2
1.111284000E0,1.000123721E3,4.205981051E-2
1.121284208E0,9.995940744E2,-1.380707463E-1
1.131284417E0,9.996863783E2,-1.066648279E-1
1.141284625E0,9.997477943E2,-8.577158380E-2
1.151284834E0,9.982260476E2,-6.042156777E-1
1.161285042E0,9.969221523E2,-1.049699018E0
1.171285250E0,9.959490011E2,-1.382941908E0
1.181285459E0,9.956797133E2,-1.475271084E0
1.191285667E0,9.964451304E2,-1.212967602E0
1.201285875E0,9.951270828E2,-1.664904798E0
1.211286084E0,非數值,非數值
1.221286292E0,非數值,非數值
1.247122250E0,非數值,非數值
1.257122458E0,9.942866151E2,-1.953713177E0
1.267122667E0,9.965369545E2,-1.181527158E0
1.277122875E0,9.994340556E2,-1.925300558E-1
1.287123083E0,1.001339735E3,4.549005210E-1
1.297123292E0,9.990742826E2,-3.150355477E-1
1.307123500E0,9.967977667E2,-1.092256979E0
1.317123708E0,9.960625375E2,-1.344029311E0
1.327123917E0,1.000627734E3,2.132956188E-1
1.337124125E0,9.981465277E2,-6.313507567E-1
1.347124333E0,9.950142476E2,-1.703649786E0
1.357124542E0,9.984265027E2,-5.358322002E-1
1.367124750E0,9.958901984E2,-1.403099019E0
1.377124958E0,9.957806124E2,-1.440670548E0
1.387125167E0,非數值,非數值
1.397125375E0,9.986383070E2,-4.636069226E-1
1.407125583E0,9.965042138E2,-1.192736868E0
1.417125792E0,9.953668644E2,-1.582598507E0
1.427126000E0,9.957022798E2,-1.467531907E0
1.437126208E0,9.951561888E2,-1.654911900E0
1.447126417E0,9.978170739E2,-7.438185684E-1
1.457126625E0,9.977137579E2,-7.791035232E-1
1.467126833E0,9.981374125E2,-6.344615054E-1
1.477127042E0,9.972551261E2,-9.358258365E-1
1.487127250E0,9.949893080E2,-1.712214652E0
1.497127458E0,9.965685928E2,-1.170695579E0
1.507127667E0,9.988836136E2,-3.799956080E-1
1.517127875E0,9.984016227E2,-5.443182917E-1
1.527128083E0,9.979687149E2,-6.920426762E-1
1.537128292E0,9.971391836E2,-9.754682016E-1
1.547128500E0,9.988801640E2,-3.811710851E-1
1.557128708E0,9.986433312E2,-4.618940329E-1
1.567128917E0,9.974791544E2,-8.592535350E-1
1.577129125E0,9.968759150E2,-1.065517684E0
1.587129333E0,9.966580761E2,-1.140064126E0
1.597129542E0,9.983467207E2,-5.630458261E-1
1.607129750E0,9.982296120E2,-6.029994699E-1
1.617129958E0,9.994720891E2,-1.795845231E-1
1.627130167E0,9.970495471E2,-1.006122505E0
1.637130375E0,9.976740277E2,-7.926743363E-1
1.647130583E0,9.983250306E2,-5.704450654E-1
1.657130792E0,9.972428334E2,-9.400284473E-1
1.667131000E0,9.980360311E2,-6.690634539E-1
1.677131208E0,9.982005564E2,-6.129137279E-1
1.687131417E0,9.981419056E2,-6.329281229E-1
1.697131625E0,1.000438845E3,1.491418008E-1
1.707131834E0,1.001162483E3,3.947853540E-1
1.717132042E0,1.005164549E3,1.746924656E0
1.727132250E0,1.000085399E3,2.903322451E-2
1.737132459E0,1.002992557E3,1.014433467E0
1.763044667E0,1.002926130E3,9.919814403E-1
1.773044875E0,1.004816921E3,1.629902031E0
1.783045083E0,1.000383735E3,1.304199843E-1
1.793045292E0,9.994247025E2,-1.957137320E-1
1.803045500E0,1.000097572E3,3.317112777E-2
1.813045708E0,9.992419864E2,-2.579201346E-1
1.823045917E0,9.983060890E2,-5.769069665E-1
1.833046125E0,9.981081376E2,-6.444524246E-1
1.843046333E0,9.994703200E2,-1.801866290E-1
1.853046542E0,1.000506630E3,1.721669735E-1
1.863046750E0,9.991601254E2,-2.857974034E-1
1.873046958E0,9.999245961E2,-2.563925406E-2
1.883047167E0,1.000310830E3,1.056493775E-1
1.893047375E0,1.001301919E3,4.420769759E-1
1.903047583E0,1.003128731E3,1.060450695E0
1.913047792E0,1.003147970E3,1.066951058E0
1.923048000E0,1.003617777E3,1.225610254E0
1.933048208E0,1.006300967E3,2.128914650E0
1.943048417E0,1.006778869E3,2.289296621E0
1.953048625E0,1.006574283E3,2.220656952E0
1.963048833E0,1.003896504E3,1.319669325E0
1.973049042E0,1.001601755E3,5.437258989E-1
1.983049250E0,1.001192536E3,4.049793368E-1
1.993049458E0,1.000467416E3,1.588470533E-1
2.003049667E0,1.000670302E3,2.277499777E-1
2.013049875E0,1.000002539E3,8.631597959E-4
2.023050083E0,1.000736736E3,2.503059686E-1
2.033050292E0,1.003020218E3,1.023781943E0
2.043050500E0,1.003890723E3,1.317718984E0
2.053050708E0,1.004684022E3,1.585142500E0
2.063050917E0,1.005525302E3,1.868279781E0
2.073051125E0,1.005881182E3,1.987910667E0
2.083051333E0,1.005256761E3,1.777952448E0
2.093051542E0,1.004209940E3,1.425378744E0
2.103051750E0,1.003296294E3,1.117057946E0
2.113051958E0,1.003400470E3,1.152241546E0
2.123052167E0,1.003264542E3,1.106332695E0
2.133052375E0,1.003733566E3,1.264690745E0
2.143052583E0,1.002719820E3,9.222303633E-1
2.153052792E0,1.001792953E3,6.085129575E-1
2.163053000E0,1.002016388E3,6.841924606E-1
2.173053208E0,1.000535434E3,1.819500000E-1
2.183053417E0,9.993555082E2,-2.192685377E-1
2.193053625E0,9.988267525E2,-3.993727127E-1
2.203053834E0,9.977330014E2,-7.725308514E-1
2.213054042E0,9.967835626E2,-1.097117535E0
2.223054250E0,9.961679836E2,-1.307897446E0
2.233054459E0,9.960577752E2,-1.345661315E0
2.243054667E0,9.960538484E2,-1.347007053E0
2.253054875E0,9.952279074E2,-1.630291384E0
2.288870083E0,9.953431935E2,-1.590721903E0
2.298870292E0,9.955596728E2,-1.516444765E0
2.308870500E0,9.956417909E2,-1.488277331E0
2.318870708E0,9.959710553E2,-1.375382528E0
2.328870917E0,9.959555921E2,-1.380682724E0
2.338871125E0,9.971578734E2,-9.690772958E-1
2.348871333E0,9.987965774E2,-4.096566686E-1
2.358871542E0,9.997727135E2,-7.729498613E-2
2.368871750E0,9.987893852E2,-4.121079481E-1
2.378871958E0,9.967859483E2,-1.096301136E0
2.388872167E0,9.969389634E2,-1.043948010E0
2.398872375E0,9.974450419E2,-8.709109113E-1
2.408872583E0,9.960445901E2,-1.350179896E0
2.418872792E0,9.950787452E2,-1.681501744E0
2.428873000E0,9.942904296E2,-1.952401321E0
2.438873208E0,非數值,非數值
2.448873417E0,9.944571285E2,-1.895080512E0
2.458873625E0,9.951570731E2,-1.654608304E0
2.468873833E0,9.967183213E2,-1.119444407E0
2.478874042E0,9.986372665E2,-4.639616386E-1
2.488874250E0,9.978655305E2,-7.272719621E-1
2.498874458E0,9.973873355E2,-8.906328645E-1
2.508874667E0,9.962477130E2,-1.280582699E0
2.518874875E0,1.001050473E3,3.567861734E-1
2.528875083E0,9.979629043E2,-6.940263366E-1
2.538875292E0,非數值,非數值
2.548875500E0,9.943842496E2,-1.920138154E0
2.558875708E0,9.966293474E2,-1.149897798E0
2.568875917E0,非數值,非數值
2.578876125E0,9.986792210E2,-4.496587671E-1
2.588876333E0,9.951601819E2,-1.653540976E0
2.598876542E0,9.971221315E2,-9.812993561E-1
2.608876750E0,9.956048250E2,-1.500956463E0
2.618876958E0,9.972169535E2,-9.488765803E-1
2.628877167E0,9.966571767E2,-1.140371984E0
2.638877375E0,非數值,非數值
2.648877583E0,9.954460382E2,-1.555430371E0
2.658877792E0,9.950925878E2,-1.676748659E0
2.668878000E0,9.952041166E2,-1.638458218E0
2.678878208E0,非數值,非數值
2.688878417E0,9.950242938E2,-1.700199809E0
2.698878625E0,1.003492400E3,1.183283602E0
2.708878833E0,非數值,非數值
2.718879042E0,9.997702402E2,-7.813628890E-2
2.728879250E0,1.003374170E3,1.143359742E0
2.738879459E0,9.974837778E2,-8.576736612E-1
2.748879667E0,1.001396506E3,4.741498216E-1
2.758879875E0,1.003705266E3,1.255139822E0
2.768880084E0,9.995583648E2,-1.502223243E-1
2.778880292E0,9.980731841E2,-6.563821190E-1
2.788880500E0,9.991707192E2,-2.821894816E-1
2.798880709E0,1.001486854E3,5.047798199E-1
2.808880917E0,1.002694052E3,9.135166907E-1
2.818881125E0,1.001415393E3,4.805534750E-1
2.828881334E0,9.995628293E2,-1.487030301E-1
2.838881542E0,9.993188155E2,-2.317605901E-1
2.848881750E0,1.003284555E3,1.113092556E0
2.858881959E0,1.002284213E3,7.748626312E-1
2.868882167E0,9.996936273E2,-1.041986510E-1
2.878882375E0,9.943532726E2,-1.930789949E0
2.811139125E0,9.977637867E2,-7.620165564E-1
2.821139333E0,1.001609409E3,5.463198722E-1
