"Time (s)","Frequency (Hz)","Speed (m/s)"
5.373633860E-1,NaN,NaN
5.473635943E-1,NaN,NaN
5.573638027E-1,NaN,NaN
5.673640110E-1,NaN,NaN
5.773642194E-1,NaN,NaN
5.873644277E-1,NaN,NaN
5.973646360E-1,NaN,NaN
6.073648444E-1,NaN,NaN
6.173650527E-1,NaN,NaN
6.273652610E-1,NaN,NaN
6.373654694E-1,NaN,NaN
6.473656777E-1,NaN,NaN
6.573658861E-1,NaN,NaN
6.673660944E-1,9.956487605E2,-1.485886887E0
6.773663027E-1,9.989709491E2,-3.502377144E-1
6.873665111E-1,1.007466812E3,2.519900535E0
6.973667194E-1,1.009527318E3,3.208717556E0
7.073669277E-1,NaN,NaN
7.173671361E-1,NaN,NaN
7.273673444E-1,1.003861395E3,1.307824283E0
7.373675528E-1,1.001795559E3,6.093959754E-1
7.473677611E-1,9.996699896E2,-1.122405757E-1
7.573679694E-1,9.987326710E2,-4.314386417E-1
7.673681778E-1,9.974742097E2,-8.609432672E-1
7.773683861E-1,9.981432355E2,-6.324742812E-1
7.873685944E-1,NaN,NaN
7.973688028E-1,9.936408843E2,-2.175936379E0
8.073690111E-1,9.972851119E2,-9.255747795E-1
8.173692195E-1,9.945594009E2,-1.859922790E0
8.273694278E-1,NaN,NaN
8.373696361E-1,9.924692845E2,-2.579871564E0
8.473698445E-1,9.957056243E2,-1.466384938E0
8.573700528E-1,9.981748989E2,-6.216689926E-1
8.673702611E-1,9.985809547E2,-4.831610190E-1
8.773704695E-1,9.997564415E2,-8.283006405E-2
8.873706778E-1,1.005623481E3,1.901291827E0
8.973708862E-1,1.009092350E3,3.063544095E0
9.073710945E-1,1.005841354E3,1.974526449E0
9.173713028E-1,1.003479676E3,1.178987450E0
9.273715112E-1,9.971681996E2,-9.655463739E-1
9.373717195E-1,9.952280008E2,-1.630259332E0
9.473719278E-1,1.003009907E3,1.020297308E0
9.573721362E-1,1.008013441E3,2.702910185E0
9.673723445E-1,NaN,NaN
9.773725529E-1,NaN,NaN
9.873727612E-1,1.008157346E3,3.412542105E0
9.973729695E-1,1.004326787E3,2.751056404E0
1.007373178E0,1.006058840E3,1.464769764E0
1.103967708E0,1.006159834E3,2.047599380E0
1.113967916E0,1.007079021E3,2.081521688E0
1.123968125E0,1.007150717E3,2.389948577E0
1.133968333E0,1.005082437E3,2.413982045E0
1.143968541E0,1.006054026E3,1.719290494E0
1.153968750E0,1.007019041E3,2.045982491E0
1.163968958E0,1.008868118E3,2.369839928E0
1.173969166E0,1.008046034E3,2.988656504E0
1.183969375E0,1.006936826E3,2.713816245E0
1.193969583E0,1.005624286E3,3.467608994E0
1.203969791E0,1.006924215E3,3.494660481E0
1.213970000E0,1.003647892E3,2.342272813E0
1.223970208E0,1.003463608E3,1.901562331E0
1.233970416E0,1.002219257E3,2.338043930E0
1.243970625E0,1.003783892E3,1.235775470E0
1.253970833E0,1.002106507E3,1.173561927E0
1.263971041E0,9.985569888E2,7.528764635E-1
1.273971250E0,9.985740813E2,1.281673472E0
1.283971458E0,1.003350353E3,7.147067675E-1
1.293971666E0,1.003526798E3,-4.913328162E-1
1.303971875E0,1.002007824E3,-4.855046354E-1
1.313972083E0,9.992323912E2,1.135316474E0
1.323972291E0,9.999510277E2,1.194897111E0
1.333972500E0,1.002535221E3,6.812923112E-1
1.343972708E0,1.003053866E3,-2.611874729E-1
1.353972916E0,1.001746321E3,-1.665139347E-2
1.363973125E0,9.997440898E2,8.597953820E-1
1.373973333E0,1.001723930E3,1.035153197E0
1.383973541E0,1.002272320E3,5.927139042E-1
1.393973750E0,1.000096827E3,-8.703174476E-2
1.403973958E0,9.958478604E2,5.851273270E-1
1.413974166E0,NaN,7.708373019E-1
1.423974375E0,NaN,3.291815573E-2
1.433974583E0,9.919428592E2,-1.417613586E0
1.443974791E0,9.934238795E2,NaN
1.453975000E0,9.959354399E2,NaN
1.463975208E0,9.978396480E2,-2.761679105E0
1.473975416E0,9.994659689E2,-2.250681720E0
1.483975625E0,9.990874952E2,-1.387590395E0
1.493975833E0,9.967555234E2,-7.361099269E-1
1.503976042E0,9.959489651E2,-1.816676021E-1
1.513976250E0,9.969689690E2,-3.105349966E-1
1.523976458E0,NaN,-1.106712759E0
1.533976667E0,NaN,-1.382954254E0
1.543976875E0,9.926440309E2,-1.033683666E0
1.553977083E0,9.954124557E2,NaN
1.563977292E0,9.972596230E2,NaN
1.573977500E0,9.967634899E2,-2.519563307E0
1.583977708E0,9.974326973E2,-1.566953535E0
1.593977917E0,9.981865341E2,-9.342884831E-1
1.603978125E0,9.960405699E2,-1.103986498E0
1.613978333E0,NaN,-8.751296391E-1
1.623978542E0,NaN,-6.176985882E-1
1.633978750E0,NaN,-1.351557627E0
1.643978958E0,9.937363204E2,NaN
1.653979167E0,NaN,NaN
1.651764687E0,9.959249648E2,NaN
1.661764895E0,9.953064181E2,-2.143074611E0
1.671765104E0,9.921820871E2,NaN
1.681765312E0,9.938593341E2,-1.391181074E0
1.691765520E0,9.935550631E2,-1.603343256E0
1.701765729E0,9.936932631E2,-2.679034832E0
1.711765937E0,9.939268285E2,-2.100726256E0
1.721766145E0,9.956596485E2,-2.205492804E0
1.731766354E0,9.979496834E2,-2.157899861E0
1.741766562E0,1.000210195E3,-2.077495306E0
1.751766770E0,9.984757063E2,-1.482152579E0
1.761766979E0,9.957355809E2,-6.985398809E-1
1.771767187E0,9.971395354E2,7.145133480E-2
1.781767395E0,9.994876564E2,-5.190510422E-1
1.791767604E0,9.937021472E2,-1.456111952E0
1.801767812E0,NaN,-9.753479175E-1
1.811768020E0,NaN,-1.742861263E-1
1.821768229E0,9.933988007E2,-2.154840826E0
1.831768437E0,9.970284717E2,NaN
1.841768645E0,9.993118367E2,NaN
1.851768854E0,9.989585940E2,-2.259322005E0
1.861769062E0,9.986753598E2,-1.013330776E0
1.871769270E0,NaN,-2.341366413E-1
1.881769479E0,9.992587970E2,-3.544471471E-1
1.891769687E0,9.924107324E2,-4.509750407E-1
1.901769895E0,NaN,NaN
1.911770104E0,1.008114271E3,-2.521959438E-1
1.921770312E0,1.006528985E3,-2.600083709E0
1.931770520E0,1.002938005E3,NaN
1.941770729E0,1.002542826E3,2.736646396E0
1.951770937E0,9.966440569E2,2.205455620E0
1.961771145E0,9.920576081E2,9.959954665E-1
1.971771354E0,NaN,8.623679548E-1
1.981771562E0,1.004446527E3,-1.144862755E0
1.991771770E0,1.008297928E3,-2.722032700E0
2.001771979E0,NaN,NaN
2.011772187E0,9.987914643E2,1.505126528E0
2.021772395E0,9.984141918E2,3.483012004E0
2.031772604E0,1.000592289E3,2.798077118E0
2.041772812E0,1.000981046E3,3.495621511E0
2.051773021E0,9.983223760E2,NaN
2.061773229E0,9.973158292E2,-4.113993410E-1
2.071773437E0,NaN,-5.400311704E-1
2.081773646E0,NaN,2.012589486E-1
2.091773854E0,9.963860045E2,3.332286048E-1
2.101774062E0,9.974992990E2,-5.713506592E-1
2.111774271E0,1.003394326E3,-9.150743003E-1
2.121774479E0,1.003782723E3,NaN
2.131774687E0,NaN,NaN
2.141774896E0,9.923392511E2,-1.233215300E0
2.151775104E0,1.000906212E3,-8.523698574E-1
2.161775312E0,1.004123137E3,1.150166666E0
2.171775521E0,1.006668286E3,1.281279244E0
2.181775729E0,1.007719224E3,NaN
2.191775937E0,NaN,-2.624762265E0
2.201776146E0,1.008327053E3,3.078331375E-1
2.205983125E0,1.003264846E3,1.396110307E0
2.215983333E0,1.002961672E3,2.252198908E0
2.225983542E0,1.001336000E3,2.604432023E0
2.235983750E0,1.000294816E3,NaN
2.245983958E0,1.001603555E3,2.807817264E0
2.255984167E0,1.002798198E3,1.106435163E0
2.265984375E0,1.008015152E3,1.003994897E0
2.275984583E0,NaN,4.536338560E-1
2.285984792E0,NaN,1.002077305E-1
2.295985000E0,1.004502738E3,5.443358469E-1
2.305985208E0,1.006361353E3,9.487326723E-1
2.315985417E0,1.004068494E3,2.703483017E0
2.325985625E0,1.005877033E3,3.413086946E0
2.335985833E0,1.005590187E3,NaN
2.345986042E0,1.005873293E3,NaN
2.355986250E0,1.006172444E3,1.524068564E0
2.365986458E0,1.004267610E3,2.149188202E0
2.375986667E0,1.006700616E3,1.377682940E0
2.385986875E0,1.007729402E3,1.986516271E0
2.395987083E0,1.005498384E3,1.890097451E0
2.405987292E0,1.003651622E3,1.985259488E0
2.415987500E0,1.007549276E3,2.085756755E0
2.425987708E0,1.007424195E3,1.444821450E0
2.435987917E0,1.006151021E3,2.263045741E0
2.445988125E0,1.007188688E3,2.607839644E0
2.455988333E0,1.005323220E3,1.859227652E0
2.465988542E0,1.003826200E3,1.237034385E0
2.475988750E0,1.003878374E3,2.547521748E0
2.485988958E0,1.004249377E3,3.379225409E0
2.495989167E0,1.006924366E3,2.505624159E0
2.505989375E0,1.005710237E3,2.078561938E0
2.515989583E0,1.002279024E3,2.426708943E0
2.525989792E0,9.972804878E2,1.800311359E0
2.535990000E0,1.004051060E3,1.295949557E0
2.545990208E0,1.004295375E3,1.313552588E0
2.555990417E0,9.991415372E2,1.438674568E0
2.565990625E0,1.001012955E3,2.338094679E0
2.575990833E0,1.003008302E3,1.930457293E0
2.585991042E0,1.003002819E3,7.731063393E-1
2.595991250E0,1.002926236E3,-9.271555746E-1
2.605991459E0,1.001164165E3,1.371803282E0
2.615991667E0,9.992278955E2,1.454181308E0
2.625991875E0,9.955836808E2,-2.921281352E-1
2.635992084E0,9.949907855E2,3.440562816E-1
2.645992292E0,9.951397479E2,1.019754903E0
2.655992500E0,NaN,1.017901910E0
2.665992709E0,9.956280503E2,9.920174932E-1
2.675992917E0,9.952055026E2,3.953559808E-1
2.685993125E0,9.968500218E2,-2.627183645E-1
2.695993334E0,9.991541199E2,-1.508209268E0
2.705993542E0,9.993626172E2,-1.711707227E0
2.715993750E0,1.000533916E3,-1.660556436E0
2.725993959E0,9.965405611E2,NaN
2.735994167E0,NaN,-1.492990172E0
2.745994375E0,NaN,-1.637982424E0
2.755994584E0,NaN,-1.074376866E0
2.765505520E0,9.919451283E2,-2.878427197E-1
