"Time (s)","Frequency (Hz)","Speed (m/s)"
6.831322083E-1,非數值,非數值
6.881323125E-1,1.002936593E3,9.955180939E-1
6.931324167E-1,1.004595167E3,1.555210263E0
6.981325208E-1,非數值,非數值
7.031326250E-1,非數值,非數值
7.081327292E-1,非數值,非數值
7.131328333E-1,非數值,非數值
7.181329375E-1,非數值,非數值
7.231330417E-1,非數值,非數值
7.281331459E-1,非數值,非數值
7.331332500E-1,非數值,非數值
7.381333542E-1,非數值,非數值
7.431334584E-1,非數值,非數值
7.481335625E-1,1.006562970E3,2.216860455E0
7.531336667E-1,非數值,非數值
7.581337709E-1,非數值,非數值
7.631338750E-1,非數值,非數值
7.681339792E-1,非數值,非數值
7.731340834E-1,非數值,非數值
7.781341875E-1,非數值,非數值
7.831342917E-1,非數值,非數值
7.881343959E-1,非數值,非數值
7.931345000E-1,非數值,非數值
7.981346042E-1,非數值,非數值
8.031347084E-1,非數值,非數值
8.081348126E-1,非數值,非數值
8.131349167E-1,非數值,非數值
8.181350209E-1,非數值,非數值
8.231351251E-1,非數值,非數值
8.281352292E-1,非數值,非數值
8.331353334E-1,非數值,非數值
8.381354376E-1,1.006882910E3,2.324192211E0
8.431355417E-1,非數值,非數值
8.481356459E-1,非數值,非數值
8.531357501E-1,非數值,非數值
8.581358542E-1,非數值,非數值
8.631359584E-1,非數值,非數值
8.681360626E-1,非數值,非數值
8.731361667E-1,1.006875247E3,2.321622261E0
8.781362709E-1,1.004832012E3,1.634983741E0
8.831363751E-1,非數值,非數值
8.881364793E-1,非數值,非數值
8.931365834E-1,非數值,非數值
8.981366876E-1,非數值,非數值
9.031367918E-1,非數值,非數值
9.081368959E-1,非數值,非數值
9.131370001E-1,非數值,非數值
9.181371043E-1,非數值,非數值
9.231372084E-1,非數值,非數值
9.281373126E-1,非數值,非數值
9.331374168E-1,非數值,非數值
9.381375209E-1,非數值,非數值
9.431376251E-1,非數值,非數值
9.481377293E-1,非數值,非數值
9.531378334E-1,非數值,非數值
9.581379376E-1,非數值,非數值
9.631380418E-1,非數值,非數值
9.681381460E-1,非數值,非數值
9.731382501E-1,非數值,非數值
9.781383543E-1,非數值,非數值
9.831384585E-1,非數值,非數值
9.881385626E-1,非數值,非數值
9.931386668E-1,非數值,非數值
9.981387710E-1,非數值,非數值
1.003138875E0,非數值,非數值
1.008138979E0,非數值,非數值
1.013139083E0,非數值,非數值
1.018139188E0,非數值,非數值
1.023139292E0,非數值,非數值
1.028139396E0,非數值,非數值
1.033139500E0,非數值,非數值
1.038139604E0,非數值,非數值
1.043139708E0,非數值,非數值
1.048139813E0,非數值,非數值
1.053139917E0,非數值,非數值
1.058140021E0,1.004920223E3,1.664685107E0
1.063140125E0,非數值,非數值
1.068140229E0,1.002878262E3,9.758003550E-1
1.073140334E0,非數值,非數值
1.078140438E0,非數值,非數值
1.083140542E0,非數值,非數值
1.088140646E0,非數值,非數值
1.093140750E0,非數值,非數值
1.098140854E0,非數值,非數值
1.103140959E0,非數值,非數值
1.108141063E0,非數值,非數值
1.113141167E0,非數值,非數值
1.118141271E0,非數值,非數值
1.123141375E0,非數值,非數值
1.128141479E0,非數值,非數值
1.133141584E0,非數值,非數值
1.138141688E0,非數值,非數值
1.143141792E0,非數值,非數值
1.148141896E0,非數值,非數值
1.153142000E0,1.003264718E3,1.106391943E0
1.158142104E0,1.003596165E3,1.218314831E0
1.163142209E0,非數值,非數值
1.168142313E0,非數值,非數值
1.173142417E0,非數值,非數值
1.178142521E0,非數值,非數值
1.199449500E0,非數值,非數值
1.204449604E0,非數值,非數值
1.209449708E0,1.002830657E3,9.597067359E-1
1.214449812E0,1.003203576E3,1.085737699E0
1.219449917E0,1.006403518E3,2.163343097E0
1.224450021E0,非數值,非數值
1.229450125E0,非數值,非數值
1.234450229E0,1.003847303E3,1.303069718E0
1.239450333E0,1.003846593E3,1.302830107E0
1.244450438E0,非數值,非數值
1.249450542E0,非數值,非數值
1.254450646E0,非數值,非數值
1.259450750E0,非數值,非數值
1.264450854E0,非數值,非數值
1.269450958E0,非數值,非數值
1.274451063E0,非數值,非數值
1.279451167E0,1.002885983E3,9.784105842E-1
1.284451271E0,非數值,非數值
1.289451375E0,非數值,非數值
1.294451479E0,非數值,非數值
1.299451583E0,非數值,非數值
1.304451688E0,非數值,非數值
1.309451792E0,非數值,非數值
1.314451896E0,非數值,非數值
1.319452000E0,非數值,非數值
1.324452104E0,非數值,非數值
1.329452208E0,非數值,非數值
1.334452313E0,非數值,非數值
1.339452417E0,1.003603112E3,1.220659804E0
1.344452521E0,1.003593765E3,1.217504556E0
1.349452625E0,1.003731263E3,1.263913280E0
1.354452729E0,非數值,非數值
1.359452833E0,非數值,非數值
1.364452938E0,非數值,非數值
1.369453042E0,1.007039871E3,2.376823630E0
1.374453146E0,非數值,非數值
1.379453250E0,非數值,非數值
1.384453354E0,非數值,非數值
1.389453458E0,1.004311060E3,1.459468566E0
1.394453563E0,非數值,非數值
1.399453667E0,1.002930842E3,9.935742679E-1
1.404453771E0,1.004600601E3,1.557041116E0
1.409453875E0,1.002687759E3,9.113885679E-1
1.414453979E0,非數值,非數值
1.419454083E0,1.005664894E3,1.915214441E0
1.424454188E0,非數值,非數值
1.429454292E0,非數值,非數值
1.434454396E0,非數值,非數值
1.439454500E0,非數值,非數值
1.444454604E0,非數值,非數值
1.449454708E0,非數值,非數值
1.454454813E0,非數值,非數值
1.459454917E0,非數值,非數值
1.464455021E0,非數值,非數值
1.469455125E0,非數值,非數值
1.474455229E0,非數值,非數值
1.479455333E0,非數值,非數值
1.484455438E0,非數值,非數值
1.489455542E0,非數值,非數值
1.494455646E0,非數值,非數值
1.499455750E0,非數值,非數值
1.504455854E0,非數值,非數值
1.509455958E0,非數值,非數值
1.514456063E0,非數值,非數值
1.519456167E0,非數值,非數值
1.524456271E0,非數值,非數值
1.529456375E0,非數值,非數值
1.534456479E0,非數值,非數值
1.539456583E0,非數值,非數值
1.544456688E0,非數值,非數值
1.549456792E0,非數值,非數值
1.554456896E0,非數值,非數值
1.559457000E0,非數值,非數值
1.564457104E0,非數值,非數值
1.569457208E0,非數值,非數值
1.574457313E0,1.003674530E3,1.244766365E0
1.579457417E0,非數值,非數值
1.584457521E0,非數值,非數值
1.589457625E0,1.005994766E3,2.026074724E0
1.594457729E0,非數值,非數值
1.599457833E0,非數值,非數值
1.604457938E0,非數值,非數值
1.609458042E0,非數值,非數值
1.614458146E0,非數值,非數值
1.619458250E0,非數值,非數值
1.624458354E0,非數值,非數值
1.629458459E0,非數值,非數值
1.634458563E0,非數值,非數值
1.639458667E0,非數值,非數值
1.644458771E0,非數值,非數值
1.649458875E0,非數值,非數值
1.654458979E0,非數值,非數值
1.659459084E0,非數值,非數值
1.664459188E0,非數值,非數值
1.669459292E0,非數值,非數值
1.674459396E0,非數值,非數值
1.679459500E0,非數值,非數值
1.684459604E0,非數值,非數值
1.689459709E0,非數值,非數值
1.694459813E0,非數值,非數值
1.716483917E0,非數值,非數值
1.721484021E0,非數值,非數值
1.726484125E0,非數值,非數值
1.731484229E0,非數值,非數值
1.736484333E0,非數值,非數值
1.741484437E0,非數值,非數值
1.746484542E0,非數值,非數值
1.751484646E0,非數值,非數值
1.756484750E0,非數值,非數值
1.761484854E0,1.004065137E3,1.376550651E0
1.766484958E0,1.004976269E3,1.683553543E0
1.771485063E0,非數值,非數值
1.776485167E0,非數值,非數值
1.781485271E0,非數值,非數值
1.786485375E0,非數值,非數值
1.791485479E0,非數值,非數值
1.796485583E0,非數值,非數值
1.801485688E0,非數值,非數值
1.806485792E0,非數值,非數值
1.811485896E0,非數值,非數值
1.816486000E0,非數值,非數值
1.821486104E0,非數值,非數值
1.826486208E0,非數值,非數值
1.831486313E0,非數值,非數值
1.836486417E0,非數值,非數值
1.841486521E0,非數值,非數值
1.846486625E0,非數值,非數值
1.851486729E0,非數值,非數值
1.856486833E0,非數值,非數值
1.861486938E0,非數值,非數值
1.866487042E0,非數值,非數值
1.871487146E0,非數值,非數值
1.876487250E0,非數值,非數值
1.881487354E0,非數值,非數值
1.886487458E0,1.007480287E3,2.524414126E0
1.891487563E0,非數值,非數值
1.896487667E0,非數值,非數值
1.901487771E0,非數值,非數值
1.906487875E0,非數值,非數值
1.911487979E0,非數值,非數值
1.916488083E0,1.005093364E3,1.722967982E0
1.921488188E0,1.007448465E3,2.513754586E0
1.926488292E0,非數值,非數值
1.931488396E0,非數值,非數值
1.936488500E0,非數值,非數值
1.941488604E0,1.006559612E3,2.215733682E0
1.946488708E0,非數值,非數值
1.951488813E0,非數值,非數值
1.956488917E0,非數值,非數值
1.961489021E0,非數值,非數值
1.966489125E0,非數值,非數值
1.971489229E0,非數值,非數值
1.976489333E0,非數值,非數值
1.981489438E0,非數值,非數值
1.986489542E0,非數值,非數值
1.991489646E0,非數值,非數值
1.996489750E0,非數值,非數值
2.001489854E0,非數值,非數值
2.006489958E0,非數值,非數值
2.011490063E0,非數值,非數值
2.016490167E0,非數值,非數值
2.021490271E0,非數值,非數值
2.026490375E0,非數值,非數值
2.031490479E0,非數值,非數值
2.036490583E0,非數值,非數值
2.041490688E0,非數值,非數值
2.046490792E0,非數值,非數值
2.051490896E0,非數值,非數值
2.056491000E0,非數值,非數值
2.061491104E0,非數值,非數值
2.066491208E0,非數值,非數值
2.071491313E0,非數值,非數值
2.076491417E0,非數值,非數值
2.081491521E0,非數值,非數值
2.086491625E0,非數值,非數值
2.091491729E0,非數值,非數值
2.096491833E0,1.004717011E3,1.596254097E0
2.101491938E0,1.006945197E3,2.345079878E0
2.106492042E0,1.003364144E3,1.139973939E0
2.111492146E0,1.007478932E3,2.523960390E0
2.116492250E0,非數值,非數值
2.121492354E0,非數值,非數值
2.126492458E0,非數值,非數值
2.131492563E0,非數值,非數值
2.136492667E0,1.003158691E3,1.070573292E0
2.141492771E0,非數值,非數值
2.146492875E0,非數值,非數值
2.151492979E0,非數值,非數值
2.156493084E0,非數值,非數值
2.161493188E0,非數值,非數值
2.166493292E0,非數值,非數值
2.171493396E0,非數值,非數值
2.176493500E0,1.002891562E3,9.802965967E-1
2.181493604E0,1.004059416E3,1.374621447E0
2.186493709E0,非數值,非數值
2.191493813E0,非數值,非數值
2.196493917E0,非數值,非數值
2.201494021E0,非數值,非數值
2.206494125E0,非數值,非數值
2.211494229E0,非數值,非數值
2.234897083E0,非數值,非數值
2.239897187E0,非數值,非數值
2.244897292E0,非數值,非數值
2.249897396E0,非數值,非數值
2.254897500E0,非數值,非數值
2.259897604E0,非數值,非數值
2.264897708E0,非數值,非數值
2.269897812E0,非數值,非數值
2.274897917E0,非數值,非數值
2.279898021E0,1.002631133E3,8.922375103E-1
2.284898125E0,非數值,非數值
2.289898229E0,非數值,非數值
2.294898333E0,非數值,非數值
2.299898438E0,非數值,非數值
2.304898542E0,非數值,非數值
2.309898646E0,非數值,非數值
2.314898750E0,非數值,非數值
2.319898854E0,非數值,非數值
2.324898958E0,非數值,非數值
2.329899063E0,非數值,非數值
2.334899167E0,非數值,非數值
2.339899271E0,非數值,非數值
2.344899375E0,非數值,非數值
2.349899479E0,非數值,非數值
2.354899583E0,非數值,非數值
2.359899688E0,非數值,非數值
2.364899792E0,非數值,非數值
2.369899896E0,非數值,非數值
2.374900000E0,非數值,非數值
2.379900104E0,非數值,非數值
2.384900208E0,非數值,非數值
2.389900313E0,非數值,非數值
2.394900417E0,非數值,非數值
2.399900521E0,非數值,非數值
2.404900625E0,非數值,非數值
2.409900729E0,非數值,非數值
2.414900833E0,1.002942898E3,9.976493959E-1
2.419900938E0,非數值,非數值
2.424901042E0,非數值,非數值
2.429901146E0,1.006985961E3,2.358748779E0
2.434901250E0,非數值,非數值
2.439901354E0,1.006539110E3,2.208853414E0
2.444901458E0,非數值,非數值
2.449901563E0,非數值,非數值
2.454901667E0,非數值,非數值
2.459901771E0,非數值,非數值
2.464901875E0,1.006053014E3,2.045642571E0
2.469901979E0,非數值,非數值
2.474902083E0,非數值,非數值
2.479902188E0,非數值,非數值
2.484902292E0,非數值,非數值
2.489902396E0,非數值,非數值
2.494902500E0,非數值,非數值
2.499902604E0,非數值,非數值
2.504902708E0,非數值,非數值
2.509902813E0,非數值,非數值
2.514902917E0,非數值,非數值
2.519903021E0,非數值,非數值
2.524903125E0,非數值,非數值
2.529903229E0,非數值,非數值
2.534903333E0,非數值,非數值
2.539903438E0,非數值,非數值
2.544903542E0,非數值,非數值
2.549903646E0,非數值,非數值
2.554903750E0,非數值,非數值
2.559903854E0,非數值,非數值
2.564903958E0,非數值,非數值
2.569904063E0,非數值,非數值
2.574904167E0,非數值,非數值
2.579904271E0,非數值,非數值
2.584904375E0,非數值,非數值
2.589904479E0,非數值,非數值
2.594904583E0,非數值,非數值
2.599904688E0,非數值,非數值
2.604904792E0,非數值,非數值
2.609904896E0,非數值,非數值
2.614905000E0,非數值,非數值
2.619905104E0,1.003214273E3,1.089351348E0
2.624905208E0,非數值,非數值
2.629905313E0,非數值,非數值
2.634905417E0,非數值,非數值
2.639905521E0,非數值,非數值
2.644905625E0,1.004994340E3,1.689636851E0
2.649905729E0,非數值,非數值
2.654905833E0,非數值,非數值
2.659905938E0,非數值,非數值
2.664906042E0,非數值,非數值
2.669906146E0,非數值,非數值
