"Time (s)","Frequency (Hz)","Speed (m/s)"
6.867880833E-1,1.007796101E3,2.630169181E0
6.967882917E-1,1.002601809E3,8.823195891E-1
7.067885000E-1,1.000473917E3,1.610554899E-1
7.167887083E-1,1.000152465E3,5.183035999E-2
7.267889167E-1,非數值,非數值
7.367891250E-1,非數值,非數值
7.467893333E-1,非數值,非數值
7.567895417E-1,非數值,非數值
7.667897500E-1,非數值,非數值
7.767899584E-1,1.001987341E3,6.743556532E-1
7.867901667E-1,1.001329494E3,4.514277462E-1
7.967903750E-1,1.001465323E3,4.974807130E-1
8.067905834E-1,9.979967518E2,-6.824715551E-1
8.167907917E-1,9.968821065E2,-1.063399373E0
8.267910000E-1,9.993539764E2,-2.197900257E-1
8.367912084E-1,1.004054227E3,1.372871221E0
8.467914167E-1,1.002452876E3,8.319373274E-1
8.567916251E-1,非數值,非數值
8.667918334E-1,非數值,非數值
8.767920417E-1,9.953030953E2,-1.604483698E0
8.867922501E-1,非數值,非數值
8.967924584E-1,非數值,非數值
9.067926667E-1,非數值,非數值
9.167928751E-1,非數值,非數值
9.267930834E-1,1.003160861E3,1.071306489E0
9.367932918E-1,1.002876095E3,9.750680466E-1
9.467935001E-1,1.003641639E3,1.233664847E0
9.567937084E-1,非數值,非數值
9.667939168E-1,1.007438877E3,2.510542693E0
9.767941251E-1,非數值,非數值
9.867943334E-1,非數值,非數值
9.967945418E-1,9.960870129E2,-1.335641966E0
1.006794750E0,9.994247196E2,-1.957079078E-1
1.016794958E0,非數值,非數值
1.026795167E0,非數值,非數值
1.036795375E0,非數值,非數值
1.046795583E0,非數值,非數值
1.056795792E0,1.000774014E3,2.629610811E-1
1.066796000E0,9.980088682E2,-6.783354632E-1
1.076796208E0,9.994672995E2,-1.812146897E-1
1.086796417E0,1.005923207E3,2.002031860E0
1.096796625E0,1.008724344E3,2.940621918E0
1.106796833E0,1.009701164E3,3.266705063E0
1.116797042E0,1.006839684E3,2.309694820E0
1.126797250E0,9.951497724E2,-1.657114765E0
1.136797459E0,非數值,非數值
1.146797667E0,9.972083796E2,-9.518080244E-1
1.156797875E0,9.953737168E2,-1.580246967E0
1.166798084E0,9.987117588E2,-4.385670023E-1
1.176798292E0,非數值,非數值
1.203462375E0,9.948620166E2,-1.755936340E0
1.213462583E0,1.002847083E3,9.652600190E-1
1.223462792E0,9.995282998E2,-1.604537630E-1
1.233463000E0,9.949509619E2,-1.725384497E0
1.243463208E0,非數值,非數值
1.253463417E0,9.949478255E2,-1.726461716E0
1.263463625E0,9.945568919E2,-1.860785200E0
1.273463833E0,非數值,非數值
1.283464042E0,非數值,非數值
1.293464250E0,9.962964978E2,-1.263871497E0
1.303464458E0,非數值,非數值
1.313464667E0,9.981512373E2,-6.297435560E-1
1.323464875E0,9.972121331E2,-9.505246823E-1
1.333465083E0,9.965501700E2,-1.177002676E0
1.343465292E0,9.951769477E2,-1.647785142E0
